Observation id,CAF99_hiact,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846.mp4,,,,,,,
,,,,,,,,
Observation date,6/13/22 14:16,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
371.233,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
378.367,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
387.067,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
442.133,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
443,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
443.033,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Locomotion,,,START
448.4,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Locomotion,,,STOP
453.8,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
497.633,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
498.6,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
500.633,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
500.867,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
568.433,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
574.467,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
576.267,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
577.133,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
581.167,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
581.967,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,START
591.933,/Users/graciezhang/Documents/Hengen Lab/videos/CAF00099-20210608T040846-050846_hiflow.mp4,3600,30,CAF99,Grooming,,,STOP
