Observation id,EAB50,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,,,,,,,
,,,,,,,,
Observation date,2022-07-07 10:17:57,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
710.067,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
710.333,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
711.933,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
712.200,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
714.933,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
715.067,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
720.400,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
728.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
730.467,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
738.067,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
739.800,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
742.533,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
744.333,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
758.600,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Rearing,,,START
760.133,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Rearing,,,STOP
766.867,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
768.067,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
792.667,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
795.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
795.867,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
797.733,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
798.333,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
801.533,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
803.133,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Drinking,,,START
808.733,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Drinking,,,STOP
820.800,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
824.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
824.467,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,START
828.533,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Locomotion,,,STOP
846.533,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
853.600,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
878.667,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
883.133,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
884.800,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
885.667,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
887.600,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
889.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
889.600,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
891.400,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
893.400,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
897.267,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
898.600,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
904.133,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
972.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
977.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
998.267,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1000.200,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
1008.333,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1013.333,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
1015.267,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1022.933,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
1037.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1039.800,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
1040.600,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1044.267,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
1066.200,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1067.733,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
1072.533,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1072.933,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
1073.400,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,START
1074.000,/Users/graciezhang/Documents/Hengen-Lab/Hengen-Lab-Work/videos/EAB50/e3v817b-20190705T2055-2155.mp4,3600.020,15.0,EAB50,Grooming,,,STOP
