Observation id,709,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,e3v819c-20200808T0609-0709.mp4,,,,,,,
,,,,,,,,
Observation date,6/6/22 12:38,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
53.2,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
54.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
58.4,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
58.933,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
59.933,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
60.333,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
62.733,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
62.733,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
63.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
63.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
65.2,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
65.867,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Grooming,,,START
72.2,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Grooming,,,STOP
72.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
73.133,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
74.067,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
78.067,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
78.8,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
80.733,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
80.867,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
81.467,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
81.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
82.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
82.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
87.933,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Grooming,,,START
87.933,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
93.533,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Grooming,,,STOP
93.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
94.067,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
94.533,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
95.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
103,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Grooming,,,START
236.533,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Grooming,,,STOP
236.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
238.333,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
238.867,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
243.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
243.333,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
264.333,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
265.067,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
278.667,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
279.067,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
282.067,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
325.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
326.667,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
332.333,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
337.667,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
338.133,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Playing w/ Ball,,,START
338.533,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Playing w/ Ball,,,STOP
338.533,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Riding the Ball,,,START
341.133,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Riding the Ball,,,STOP
341.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Playing w/ Ball,,,START
342.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
342.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Playing w/ Ball,,,STOP
343.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
359,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
360.667,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
361.667,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
362.8,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
362.867,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Playing w/ Ball,,,START
396.467,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Playing w/ Ball,,,STOP
397,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
397.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
397.6,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,START
399.467,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Porthole Interaction,,,STOP
399.733,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
404.267,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
404.867,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,START
407.733,/Users/graciezhang/Documents/Hengen Lab/0709 flipped.mp4,3600,15,CAF26,Locomotion,,,STOP
