Observation id,120839 - side,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,,,,,,,
,,,,,,,,
Observation date,2022-06-14 16:13:30,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
227.433,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,START
228.533,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,STOP
235.300,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
236.600,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
239.100,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
243.833,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
291.500,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,START
296.833,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,STOP
300.400,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
302.600,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
302.933,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
304.700,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
309.333,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
312.000,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
360.867,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,START
362.067,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,STOP
369.267,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,START
370.367,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,STOP
370.867,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,START
374.067,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,STOP
378.767,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
383.200,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
401.533,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
402.833,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
403.167,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,START
407.833,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,STOP
408.667,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
412.833,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
414.733,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Rearing,,,START
416.400,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Rearing,,,STOP
418.767,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,START
424.133,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Locomotive Movement,,,STOP
428.267,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,START
429.500,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Porthole Interaction,,,STOP
439.667,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,START
444.833,/Users/doranwu/Documents/Documents - Doran’s MacBook Air/OneDrive/OneDrive - Washington University in St. Louis/Hengen Lab Work/Videos/CAF106/CAF00106-20210607T110838-120839.mp4,3600.960,30.0,CAF106,Grooming,,,STOP
