From Top,,,
Player #1,e3v819c-20200808T0609-0709.mp4,,
Time,Behavior,Comment,Status
517,Riding the Ball,,START
517.867,Riding the Ball,,STOP
518.2,Playing w/ Ball,,START
518.267,Playing w/ Ball,,STOP
518.533,Locomotion,,START
519.733,Locomotion,,STOP
528.467,Locomotion,,START
534.067,Locomotion,,STOP
535.533,Locomotion,,START
536.533,Locomotion,,STOP
539.267,Locomotion,,START
541,Locomotion,,STOP
543.067,Locomotion,,START
545.4,Locomotion,,STOP
545.467,Locomotion,,START
547.2,Locomotion,,STOP
556.467,Locomotion,,START
557.8,Locomotion,,STOP
558.467,Locomotion,,START
559.867,Locomotion,,STOP
559.933,Porthole Interaction,,START
560,Porthole Interaction,,STOP
560.133,Porthole Interaction,,START
561.2,Porthole Interaction,,STOP
561.8,Porthole Interaction,,START
562.467,Porthole Interaction,,STOP
562.867,Porthole Interaction,,START
564,Porthole Interaction,,STOP
564.467,Porthole Interaction,,START
568.133,Porthole Interaction,,STOP
568.4,Porthole Interaction,,START
573.067,Porthole Interaction,,STOP
573.933,Porthole Interaction,,START
577,Porthole Interaction,,STOP
577.4,Porthole Interaction,,START
578.4,Porthole Interaction,,STOP
578.8,Porthole Interaction,,START
582.667,Porthole Interaction,,STOP
583.133,Porthole Interaction,,START
583.2,Porthole Interaction,,STOP
583.6,Porthole Interaction,,START
584.6,Porthole Interaction,,STOP
584.933,Porthole Interaction,,START
586.933,Porthole Interaction,,STOP
588.2,Porthole Interaction,,START
589,Locomotion,,START
589.2,Porthole Interaction,,STOP
591.4,Locomotion,,STOP
591.533,Porthole Interaction,,START
594.267,Porthole Interaction,,STOP
597.133,Locomotion,,START
597.267,Porthole Interaction,,START
598.467,Locomotion,,STOP
599.8,Locomotion,,START
603.067,Locomotion,,STOP
604.6,Locomotion,,START
606,Locomotion,,STOP
606.733,Porthole Interaction,,STOP
609.6,Porthole Interaction,,START
610.267,Porthole Interaction,,STOP
610.4,Locomotion,,START
611.533,Locomotion,,STOP
611.867,Grooming,,START
614.733,Grooming,,STOP
639,Grooming,,START
640.467,Grooming,,STOP
644,Locomotion,,START
646,Locomotion,,STOP
646.333,Porthole Interaction,,START
647.933,Porthole Interaction,,STOP
648.733,Porthole Interaction,,START
649.267,Porthole Interaction,,STOP
650.467,Porthole Interaction,,START
655.667,Porthole Interaction,,STOP
669.733,Locomotion,,START
670.733,Locomotion,,STOP
674.133,Porthole Interaction,,START
674.6,Porthole Interaction,,STOP
675.2,Porthole Interaction,,START
676.133,Porthole Interaction,,STOP
677.133,Porthole Interaction,,START
680.6,Porthole Interaction,,STOP
681.2,Porthole Interaction,,START
688.333,Porthole Interaction,,STOP
689.8,Porthole Interaction,,START
690.533,Porthole Interaction,,STOP
692.267,Porthole Interaction,,START
692.4,Porthole Interaction,,STOP
692.8,Porthole Interaction,,START
693.467,Porthole Interaction,,STOP
695,Porthole Interaction,,START
704.933,Porthole Interaction,,STOP
705.667,Locomotion,,START
708,Locomotion,,STOP
708.133,Locomotion,,START
709.333,Locomotion,,STOP
711.267,Locomotion,,START
717.067,Locomotion,,STOP
720.267,Porthole Interaction,,START
721.667,Porthole Interaction,,STOP
722.6,Porthole Interaction,,START
724.067,Locomotion,,START
724.267,Porthole Interaction,,STOP
726.667,Locomotion,,STOP
729,Porthole Interaction,,START
729.333,Porthole Interaction,,STOP
729.4,Locomotion,,START
731.333,Locomotion,,STOP
749.067,Grooming,,START
823.6,Grooming,,STOP
834.267,Locomotion,,START
837.333,Locomotion,,STOP
841.2,Porthole Interaction,,START
843.533,Porthole Interaction,,STOP
847.333,Locomotion,,START
849.533,Locomotion,,STOP
850.933,Locomotion,,START
852.8,Locomotion,,STOP
852.867,Playing w/ Ball,,START
853.067,Playing w/ Ball,,STOP
853.2,Playing w/ Ball,,START
853.6,Playing w/ Ball,,STOP
854.8,Locomotion,,START
862.333,Locomotion,,STOP
864.6,Locomotion,,START
