Observation id,CAF69,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,,,,,,,
,,,,,,,,
Observation date,6/17/22 10:17,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
571.667,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
575.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
612.567,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Locomotion,,,START
617.733,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Locomotion,,,STOP
668.133,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
676.9,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
677.767,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
679.733,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
681.233,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
683.9,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
684,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
689.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
690.167,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
691.867,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
692.967,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
700.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
700.767,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
701.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
702.733,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
704.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
705.9,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
706.6,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
707.5,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
709.133,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
711.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
714.2,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
715.033,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
716.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
718.667,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
720.533,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
724.3,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
727.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
731.1,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
732.933,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
764.7,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
766.3,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
768.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
770.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
771.433,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
772.433,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
772.667,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
773.233,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
774.167,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
779.633,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
784.167,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
784.733,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
785.533,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
788.7,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
790.167,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
791.4,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
791.733,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
792.433,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,STOP
793.933,/Users/graciezhang/Documents/Hengen-Lab/videos/e3v81a6-20201230T155846-165847.mp4,3600.96,30,,Grooming,,,START
